id,control_score,primed_score,delta
radeval_17_prediction3,0.11388888888888889,0.10040404040404041,-0.013484848484848475
radeval_23_prediction3,0.01818181818181818,0.09636363636363636,0.07818181818181819
radeval_9_prediction2,0.29761904761904756,0.26825396825396824,-0.029365079365079316
radeval_4_prediction1,0.12936507936507935,0.11444444444444443,-0.014920634920634918
radeval_16_prediction2,0.1557042957042957,0.09484848484848485,-0.06085581085581085
radeval_17_prediction2,0.35285714285714287,0.292063492063492,-0.060793650793650844
radeval_20_prediction3,0.419047619047619,0.30476190476190473,-0.11428571428571427
radeval_27_prediction2,0.24059829059829058,0.1868298368298368,-0.05376845376845377
radeval_31_prediction2,0.39333333333333337,0.3777777777777777,-0.015555555555555656
radeval_24_prediction2,0.15357142857142855,0.14404761904761904,-0.009523809523809518
